Data,vendas
2013-07-01T00:00:00-03:00,64.72432
2013-08-01T00:00:00-03:00,65.74602
2013-09-01T00:00:00-03:00,62.83419
2013-10-01T00:00:00-03:00,65.38842
2013-11-01T00:00:00-02:00,63.85588
2013-12-01T00:00:00-02:00,70.03713
2014-01-01T00:00:00-02:00,64.41781
2014-02-01T00:00:00-02:00,60.33104
2014-03-01T00:00:00-03:00,64.72432
2014-04-01T00:00:00-03:00,64.26456
2014-05-01T00:00:00-03:00,69.27086
2014-06-01T00:00:00-03:00,64.62215
2014-07-01T00:00:00-03:00,69.27086
2014-08-01T00:00:00-03:00,70.49689
2014-09-01T00:00:00-03:00,69.37303
2014-10-01T00:00:00-03:00,71.77401
2014-11-01T00:00:00-02:00,67.68724
2014-12-01T00:00:00-02:00,75.60536
2015-01-01T00:00:00-02:00,67.63615
2015-02-01T00:00:00-02:00,61.40382
2015-03-01T00:00:00-03:00,71.36533
2015-04-01T00:00:00-03:00,68.24917
2015-05-01T00:00:00-03:00,70.54798
2015-06-01T00:00:00-03:00,68.35134
2015-07-01T00:00:00-03:00,70.59906
2015-08-01T00:00:00-03:00,71.26316
2015-09-01T00:00:00-03:00,68.55568
2015-10-01T00:00:00-03:00,71.4675
2015-11-01T00:00:00-02:00,69.06652
2015-12-01T00:00:00-02:00,77.95526
2016-01-01T00:00:00-02:00,67.4829
2016-02-01T00:00:00-02:00,65.03083
2016-03-01T00:00:00-03:00,72.89788
2016-04-01T00:00:00-03:00,67.38073
2016-05-01T00:00:00-03:00,68.76001
2016-06-01T00:00:00-03:00,66.92096
2016-07-01T00:00:00-03:00,68.30025
2016-08-01T00:00:00-03:00,68.60676
2016-09-01T00:00:00-03:00,66.41012
2016-10-01T00:00:00-03:00,67.07422
2016-11-01T00:00:00-02:00,66.56337
2016-12-01T00:00:00-02:00,73.61306
2017-01-01T00:00:00-02:00,66.04318
2017-02-01T00:00:00-02:00,61.71312
2017-03-01T00:00:00-03:00,71.68058
2017-04-01T00:00:00-03:00,65.4027
2017-05-01T00:00:00-03:00,71.18788
2017-06-01T00:00:00-03:00,68.75534
2017-07-01T00:00:00-03:00,69.82342
2017-08-01T00:00:00-03:00,71.56912
2017-09-01T00:00:00-03:00,71.0816
2017-10-01T00:00:00-03:00,71.26037
2017-11-01T00:00:00-02:00,71.86985
2017-12-01T00:00:00-02:00,78.82904
2018-01-01T00:00:00-02:00,69.61536
2018-02-01T00:00:00-02:00,64.43812
2018-03-01T00:00:00-03:00,75.29896
2018-04-01T00:00:00-03:00,72.08502
2018-05-01T00:00:00-03:00,74.36287
2018-06-01T00:00:00-03:00,71.89103
2018-07-01T00:00:00-03:00,73.66299
2018-08-01T00:00:00-03:00,76.75942
2018-09-01T00:00:00-03:00,72.39835
2018-10-01T00:00:00-03:00,76.02821
2018-11-01T00:00:00-03:00,77.35737
2018-12-01T00:00:00-02:00,84.50243
2019-01-01T00:00:00-02:00,74.69245
2019-02-01T00:00:00-02:00,70.89639
2019-03-01T00:00:00-03:00,78.06128
2019-04-01T00:00:00-03:00,74.8621
2019-05-01T00:00:00-03:00,80.26649
2019-06-01T00:00:00-03:00,75.45953
2019-07-01T00:00:00-03:00,79.92007
2019-08-01T00:00:00-03:00,80.73185
2019-09-01T00:00:00-03:00,77.25539
2019-10-01T00:00:00-03:00,81.46121
2019-11-01T00:00:00-03:00,84.76326
2019-12-01T00:00:00-03:00,90.4569
2020-01-01T00:00:00-03:00,79.96735
2020-02-01T00:00:00-03:00,76.44071
2020-03-01T00:00:00-03:00,87.44288
2020-04-01T00:00:00-03:00,67.56282
2020-05-01T00:00:00-03:00,78.16551
2020-06-01T00:00:00-03:00,80.81311
2020-07-01T00:00:00-03:00,90.68329
2020-08-01T00:00:00-03:00,87.9606
2020-09-01T00:00:00-03:00,87.93823
2020-10-01T00:00:00-03:00,92.81354
2020-11-01T00:00:00-03:00,94.79613
2020-12-01T00:00:00-03:00,103.25759
2021-01-01T00:00:00-03:00,90.23302
