Data,vendas
2010-08-01T00:00:00-03:00,82.65779
2010-09-01T00:00:00-03:00,81.53378
2010-10-01T00:00:00-03:00,86.11628
2010-11-01T00:00:00-02:00,81.62025
2010-12-01T00:00:00-02:00,104.27332
2011-01-01T00:00:00-02:00,81.70671
2011-02-01T00:00:00-02:00,77.98884
2011-03-01T00:00:00-03:00,85.16519
2011-04-01T00:00:00-03:00,88.36429
2011-05-01T00:00:00-03:00,82.39841
2011-06-01T00:00:00-03:00,81.2744
2011-07-01T00:00:00-03:00,86.80797
2011-08-01T00:00:00-03:00,85.85689
2011-09-01T00:00:00-03:00,84.38704
2011-10-01T00:00:00-03:00,88.10491
2011-11-01T00:00:00-02:00,86.63505
2011-12-01T00:00:00-02:00,109.02874
2012-01-01T00:00:00-02:00,88.62368
2012-02-01T00:00:00-02:00,88.36429
2012-03-01T00:00:00-03:00,95.71357
2012-04-01T00:00:00-03:00,91.56339
2012-05-01T00:00:00-03:00,89.66122
2012-06-01T00:00:00-03:00,90.35292
2012-07-01T00:00:00-03:00,91.04462
2012-08-01T00:00:00-03:00,93.20617
2012-09-01T00:00:00-03:00,92.6874
2012-10-01T00:00:00-03:00,93.89787
2012-11-01T00:00:00-02:00,93.81141
2012-12-01T00:00:00-02:00,116.46448
2013-01-01T00:00:00-02:00,91.56339
2013-02-01T00:00:00-02:00,86.54859
2013-03-01T00:00:00-03:00,99.60437
2013-04-01T00:00:00-03:00,86.63505
2013-05-01T00:00:00-03:00,91.9957
2013-06-01T00:00:00-03:00,89.66122
2013-07-01T00:00:00-03:00,93.55202
2013-08-01T00:00:00-03:00,98.3939
2013-09-01T00:00:00-03:00,93.55202
2013-10-01T00:00:00-03:00,96.92404
2013-11-01T00:00:00-02:00,99.25852
2013-12-01T00:00:00-02:00,119.23127
2014-01-01T00:00:00-02:00,96.66466
2014-02-01T00:00:00-02:00,91.30401
2014-03-01T00:00:00-03:00,96.83758
2014-04-01T00:00:00-03:00,95.36773
2014-05-01T00:00:00-03:00,94.5031
2014-06-01T00:00:00-03:00,90.35292
2014-07-01T00:00:00-03:00,93.55202
2014-08-01T00:00:00-03:00,96.92404
2014-09-01T00:00:00-03:00,91.73632
2014-10-01T00:00:00-03:00,98.73975
2014-11-01T00:00:00-02:00,97.87513
2014-12-01T00:00:00-02:00,118.10726
2015-01-01T00:00:00-02:00,96.83758
2015-02-01T00:00:00-02:00,89.66122
2015-03-01T00:00:00-03:00,94.5031
2015-04-01T00:00:00-03:00,93.46556
2015-05-01T00:00:00-03:00,92.60094
2015-06-01T00:00:00-03:00,87.93198
2015-07-01T00:00:00-03:00,91.04462
2015-08-01T00:00:00-03:00,92.25509
2015-09-01T00:00:00-03:00,89.74769
2015-10-01T00:00:00-03:00,98.3939
2015-11-01T00:00:00-02:00,92.42801
