Data,vendas,
2024.03,99.71625,
2024.04,97.29842,
2024.05,105.56256,
2024.06,100.85241,
2024.07,106.4624,
2024.08,101.98174,
2024.09,96.34659,
2024.10,106.83082,
2024.11,133.97967,
2024.12,133.6141,
2025.01,107.58495,
2025.02,98.74399,
2025.03,102.7541,
2025.04,97.6047,
2025.05,113.00744,
2025.06,100.48074,
2025.07,109.85707,
2025.08,104.17022,
2025.09,103.54003,
