Data,vendas
2010-07-01T00:00:00-03:00,82.32789
2010-08-01T00:00:00-03:00,87.03533
2010-09-01T00:00:00-03:00,86.82611
2010-10-01T00:00:00-03:00,92.26582
2010-11-01T00:00:00-02:00,99.90233
2010-12-01T00:00:00-02:00,137.45724
2011-01-01T00:00:00-02:00,105.9697
2011-02-01T00:00:00-02:00,89.02292
2011-03-01T00:00:00-03:00,93.20731
2011-04-01T00:00:00-03:00,91.11511
2011-05-01T00:00:00-03:00,105.86509
2011-06-01T00:00:00-03:00,93.1027
2011-07-01T00:00:00-03:00,99.5885
2011-08-01T00:00:00-03:00,101.78531
2011-09-01T00:00:00-03:00,100.6346
2011-10-01T00:00:00-03:00,104.40055
2011-11-01T00:00:00-02:00,112.14168
2011-12-01T00:00:00-02:00,158.48381
2012-01-01T00:00:00-02:00,119.8828
2012-02-01T00:00:00-02:00,101.05304
2012-03-01T00:00:00-03:00,112.66473
2012-04-01T00:00:00-03:00,102.41297
2012-05-01T00:00:00-03:00,115.69841
2012-06-01T00:00:00-03:00,107.74807
2012-07-01T00:00:00-03:00,112.14168
2012-08-01T00:00:00-03:00,117.37217
2012-09-01T00:00:00-03:00,106.91119
2012-10-01T00:00:00-03:00,118.73209
2012-11-01T00:00:00-02:00,121.66117
2012-12-01T00:00:00-02:00,171.76925
2013-01-01T00:00:00-02:00,126.78704
2013-02-01T00:00:00-02:00,100.11155
2013-03-01T00:00:00-03:00,111.72324
2013-04-01T00:00:00-03:00,111.72324
2013-05-01T00:00:00-03:00,123.02109
2013-06-01T00:00:00-03:00,110.78175
2013-07-01T00:00:00-03:00,124.48563
2013-08-01T00:00:00-03:00,126.57783
2013-09-01T00:00:00-03:00,114.86153
2013-10-01T00:00:00-03:00,124.69485
2013-11-01T00:00:00-02:00,132.64519
2013-12-01T00:00:00-02:00,170.30471
2014-01-01T00:00:00-02:00,134.10973
2014-02-01T00:00:00-02:00,110.57253
2014-03-01T00:00:00-03:00,116.01224
2014-04-01T00:00:00-03:00,114.5477
2014-05-01T00:00:00-03:00,133.16824
2014-06-01T00:00:00-03:00,110.88636
2014-07-01T00:00:00-03:00,113.08316
2014-08-01T00:00:00-03:00,117.05834
2014-09-01T00:00:00-03:00,114.96614
2014-10-01T00:00:00-03:00,122.49804
